iter	Passed	Remaining
649	4678	2519
650	4685	2512
651	4692	2504
652	4699	2497
653	4706	2490
654	4713	2482
655	4720	2475
656	4727	2468
657	4734	2460
658	4741	2453
659	4749	2446
660	4756	2439
661	4763	2432
662	4770	2424
663	4777	2417
664	4784	2410
665	4791	2402
666	4798	2395
667	4805	2388
668	4812	2381
669	4820	2374
670	4827	2366
671	4834	2359
672	4841	2352
673	4848	2345
674	4855	2337
675	4862	2330
676	4869	2323
677	4876	2316
678	4883	2308
679	4891	2301
680	4898	2294
681	4905	2287
682	4912	2280
683	4919	2272
684	4926	2265
685	4932	2257
686	4940	2250
687	4947	2243
688	4954	2236
689	4961	2229
690	4968	2221
691	4975	2214
692	4982	2207
693	4989	2199
694	4996	2192
695	5004	2185
696	5011	2178
697	5018	2171
698	5025	2164
699	5032	2156
700	5039	2149
701	5049	2143
702	5056	2136
703	5063	2128
704	5070	2121
705	5077	2114
706	5084	2107
707	5091	2099
708	5098	2092
709	5106	2085
710	5113	2078
711	5120	2071
712	5127	2063
713	5135	2057
714	5150	2052
715	5169	2050
716	5179	2044
717	5186	2037
718	5195	2030
719	5202	2023
720	5214	2017
721	5235	2015
722	5245	2009
723	5253	2002
724	5261	1995
725	5268	1988
726	5276	1981
727	5298	1979
728	5305	1972
729	5313	1965
730	5320	1957
731	5327	1950
732	5334	1943
733	5341	1935
734	5348	1928
735	5355	1921
736	5362	1913
737	5369	1906
738	5376	1898
739	5383	1891
740	5390	1884
741	5397	1876
742	5405	1869
743	5412	1862
744	5419	1854
745	5427	1848
746	5434	1840
747	5441	1833
748	5448	1825
749	5455	1818
750	5462	1811
751	5469	1803
752	5478	1797
753	5485	1789
754	5492	1782
755	5499	1775
756	5506	1767
757	5513	1760
758	5520	1752
759	5527	1745
760	5534	1738
761	5541	1730
762	5549	1723
763	5557	1716
764	5568	1710
765	5575	1703
766	5582	1695
767	5588	1688
768	5596	1681
769	5603	1673
770	5610	1666
771	5617	1658
