i,name,mean,convergence_index
87,feature_charisma76,0.011250000000000012,0.08186151444096035
88,feature_charisma77,0.013620000000000044,0.08186151444096035
89,feature_charisma78,0.01327500000000001,0.08186151444096035
90,feature_charisma79,0.012960000000000027,0.08186151444096035
91,feature_charisma80,0.01231500000000001,0.08186151444096035
92,feature_charisma81,0.011040000000000015,0.08186151444096035
93,feature_charisma82,0.011670000000000031,0.08186151444096035
94,feature_charisma83,0.012675000000000023,0.08186151444096035
95,feature_charisma84,0.010439999999999996,0.08186151444096035
96,feature_charisma85,0.010080000000000013,0.08186151444096035
97,feature_charisma86,0.011850000000000019,0.08186151444096035
98,feature_strength1,0.012105000000000019,0.08186151444096035
99,feature_strength2,0.011940000000000032,0.08186151444096035
100,feature_strength3,0.014790000000000029,0.08186151444096035
101,feature_strength4,0.01135500000000002,0.08186151444096035
102,feature_strength5,0.018585000000000105,0.08186151444096035
103,feature_strength6,0.01183500000000001,0.08186151444096035
104,feature_strength7,0.012075000000000018,0.08186151444096035
105,feature_strength8,0.011745000000000023,0.08186151444096035
106,feature_strength9,0.013770000000000048,0.08186151444096035
107,feature_strength10,0.014310000000000052,0.08186151444096035
108,feature_strength11,0.014925000000000032,0.08186151444096035
109,feature_strength12,0.013560000000000039,0.08186151444096035
110,feature_strength13,0.012765000000000028,0.08186151444096035
111,feature_strength14,0.01123500000000002,0.08186151444096035
112,feature_strength15,0.016140000000000033,0.08186151444096035
113,feature_strength16,0.01158000000000004,0.08186151444096035
114,feature_strength17,0.015300000000000043,0.08186151444096035
115,feature_strength18,0.010965000000000015,0.08186151444096035
116,feature_strength19,0.012705000000000024,0.08186151444096035
117,feature_strength20,0.010484999999999987,0.08186151444096035
118,feature_strength21,0.011400000000000021,0.08186151444096035
119,feature_strength22,0.011895000000000022,0.08186151444096035
120,feature_strength23,0.012570000000000029,0.08186151444096035
121,feature_strength24,0.010515000000000002,0.08186151444096035
122,feature_strength25,0.01699500000000004,0.08186151444096035
123,feature_strength26,0.011790000000000026,0.08186151444096035
124,feature_strength27,0.012405000000000022,0.08186151444096035
