iter	Passed	Remaining
791	987	260
792	988	258
793	989	257
794	990	255
795	990	254
796	991	253
797	992	251
798	993	250
799	993	249
800	994	247
801	995	246
802	995	244
803	996	243
804	999	242
805	999	241
806	1000	239
807	1001	238
808	1003	237
809	1004	236
810	1004	234
811	1005	233
812	1006	232
813	1006	230
814	1007	229
815	1008	227
816	1009	226
817	1009	225
818	1010	223
819	1011	222
820	1011	221
821	1012	219
822	1013	218
823	1014	217
824	1015	215
825	1015	214
826	1016	213
827	1017	211
828	1018	210
829	1026	210
830	1029	209
831	1033	209
832	1039	208
833	1040	207
834	1041	206
835	1042	205
836	1043	203
837	1054	204
838	1055	202
839	1056	201
840	1056	200
841	1057	198
842	1058	197
843	1059	196
844	1059	194
845	1060	193
846	1061	192
847	1061	190
848	1062	189
849	1063	188
850	1063	186
851	1066	185
852	1067	184
853	1067	182
854	1068	181
855	1068	180
856	1069	178
857	1070	177
858	1071	176
859	1071	174
860	1072	173
861	1072	172
862	1074	170
863	1078	170
864	1079	168
865	1080	167
866	1083	166
867	1084	165
868	1084	163
869	1090	163
870	1133	168
871	1134	166
872	1134	165
873	1135	164
874	1135	162
875	1136	161
876	1138	160
877	1138	158
878	1139	157
879	1140	155
880	1140	154
881	1141	153
882	1142	151
883	1142	150
884	1143	148
885	1152	148
886	1157	147
887	1164	147
888	1164	145
889	1165	144
890	1165	142
891	1166	141
892	1167	140
893	1167	138
894	1168	137
895	1169	136
896	1169	134
897	1170	133
898	1170	131
899	1171	130
900	1172	129
901	1172	127
902	1173	126
903	1174	124
904	1174	123
905	1175	122
906	1176	120
907	1176	119
908	1184	118
909	1197	118
910	1198	117
911	1199	116
912	1200	114
913	1201	113
914	1202	111
915	1203	110
916	1208	109
917	1212	108
918	1212	107
919	1218	106
920	1223	105
921	1224	103
922	1226	102
923	1229	101
924	1236	100
925	1262	101
926	1265	99
927	1267	98
928	1274	97
929	1274	97
930	1350	100
931	1351	98
932	1353	97
933	1355	96
934	1356	94
935	1400	96
936	1469	99
937	1469	99
938	1551	101
939	1558	99
940	1567	98
941	1568	96
942	1569	95
943	1572	93
944	1573	91
945	1574	90
946	1575	88
947	1576	86
948	1577	85
949	1583	83
950	1595	82
951	1598	80
952	1628	80
953	1629	78
954	1631	77
955	1633	75
956	1634	73
957	1635	71
958	1636	70
959	1636	68
960	1637	66
961	1641	65
962	1642	63
963	1643	61
964	1644	59
965	1645	58
966	1646	56
967	1647	54
968	1648	52
969	1649	51
970	1653	49
971	1654	47
972	1658	46
973	1659	44
974	1661	42
975	1663	41
976	1663	39
977	1664	37
978	1666	35
979	1669	34
980	1671	32
981	1673	30
982	1675	29
983	1677	27
984	1679	25
985	1683	24
986	1693	22
987	1695	20
988	1699	18
989	1700	17
990	1702	15
991	1703	13
992	1704	12
993	1705	10
994	1706	8
995	1709	6
996	1717	5
997	1718	3
998	1719	1
999	1720	0
